"p","t","trial_num","rt","block_duration","full_screen","focus_shifts","stim_duration","correct","correct_response","flanker_middle_direction","flanker_type","flanker_location","cue","group"
"1","1",1,645,645,TRUE,0,645,TRUE,39,"right","congruent","down","center","FAM"
"1","1",2,581,581,TRUE,0,581,TRUE,37,"left","congruent","down","nocue","FAM"
"1","1",3,693,693,TRUE,0,693,TRUE,37,"left","incongruent","down","double","FAM"
"1","1",4,741,741,TRUE,0,741,TRUE,37,"left","incongruent","up","spatial","FAM"
"1","1",5,628,628,TRUE,0,628,TRUE,39,"right","congruent","down","nocue","FAM"
"1","1",6,634,634,TRUE,0,634,TRUE,39,"right","congruent","down","spatial","FAM"
"1","1",7,861,861,TRUE,0,861,TRUE,39,"right","neutral","up","center","FAM"
"1","1",8,533,533,TRUE,0,533,TRUE,39,"right","congruent","up","double","FAM"
"1","1",9,714,714,TRUE,0,714,TRUE,39,"right","congruent","down","double","FAM"
"1","1",10,547,547,TRUE,0,547,TRUE,37,"left","congruent","up","nocue","FAM"
"1","1",11,615,615,TRUE,0,615,TRUE,37,"left","neutral","up","double","FAM"
"1","1",12,577,577,TRUE,0,577,TRUE,37,"left","congruent","down","double","FAM"
"1","1",13,475,475,TRUE,0,475,TRUE,37,"left","neutral","up","spatial","FAM"
"1","1",14,617,617,TRUE,0,617,TRUE,39,"right","congruent","up","center","FAM"
"1","1",15,430,430,TRUE,0,430,TRUE,37,"left","neutral","down","spatial","FAM"
"1","1",16,568,568,TRUE,0,568,TRUE,37,"left","neutral","down","double","FAM"
"1","1",17,603,603,TRUE,0,603,TRUE,39,"right","congruent","up","nocue","FAM"
"1","1",18,445,445,TRUE,0,445,TRUE,37,"left","incongruent","down","spatial","FAM"
"1","1",19,731,731,TRUE,0,731,TRUE,37,"left","congruent","down","spatial","FAM"
"1","1",20,694,694,TRUE,0,694,TRUE,39,"right","incongruent","up","center","FAM"
"1","1",21,563,563,TRUE,0,563,TRUE,37,"left","neutral","up","center","FAM"
"1","1",22,529,529,TRUE,0,529,TRUE,39,"right","incongruent","up","double","FAM"
"1","1",23,751,751,TRUE,0,751,TRUE,39,"right","incongruent","down","double","FAM"
"1","1",24,662,662,TRUE,0,662,TRUE,39,"right","incongruent","up","nocue","FAM"
"1","1",25,615,615,TRUE,0,615,TRUE,39,"right","incongruent","down","spatial","FAM"
"1","1",26,638,638,TRUE,0,638,TRUE,39,"right","congruent","up","spatial","FAM"
"1","1",27,814,814,TRUE,0,814,TRUE,39,"right","incongruent","up","spatial","FAM"
"1","1",28,902,902,TRUE,0,902,TRUE,37,"left","neutral","down","center","FAM"
"1","1",29,574,574,TRUE,0,574,TRUE,37,"left","congruent","up","spatial","FAM"
"1","1",30,869,869,TRUE,0,869,TRUE,37,"left","incongruent","up","nocue","FAM"
"1","1",31,617,617,TRUE,0,617,TRUE,37,"left","congruent","up","double","FAM"
"1","1",32,667,667,TRUE,0,667,TRUE,39,"right","incongruent","down","center","FAM"
"1","1",33,616,616,TRUE,0,616,TRUE,37,"left","incongruent","down","center","FAM"
"1","1",34,759,759,TRUE,0,759,TRUE,37,"left","neutral","up","nocue","FAM"
